0	bene	bene	1
1438	quando	_	0
1439	finisce	_	0
1440	il	_	0
1441	tuo	_	0
1442	è	_	0
1443	coda	_	0
1444	quando	_	0
1445	arriva	_	0
1446	noi	_	0
1447	abbiamo	_	0
1448	il	_	0
1449	limite	_	0
1450	della	_	0
1451	velocità	_	0
1452	sì	_	0
1453	sì	_	0
1454	sì	_	0
1455	ma	_	0
1456	ho	_	0
1457	sentito	_	0
1458	molte	_	0
1459	lamenti	_	0
1460	assolutamente	_	0
1461	hanno	_	0
1462	fatto	_	0
1463	anche	_	0
1464	delle	_	0
1465	proteste	_	0
1466	degli	_	0
1467	guarda	_	0
1468	che	_	0
1469	prima	_	0
1470	da	_	0
1471	fare	_	0
1472	è	_	0
1473	una	_	0
1474	cosa	_	0
1475	che	_	0
1476	tu	_	0
1477	devi	_	0
1478	venire	_	0
1479	in	_	0
1480	strada	_	0
1481	per	_	0
1482	capire	_	0
1483	come	_	0
1484	non	_	0
1485	che	_	0
1486	puoi	_	0
1487	fare	_	0
1488	da	_	0
1489	casa	_	0
1490	non	_	0
1491	puoi	_	0
1492	fare	_	0
1493	tutto	_	0
1494	no	_	0
1495	no	_	0
1496	no	_	0
1497	certamente	_	0
1498	se	_	0
1499	vuoi	_	0
1500	essere	_	0
1501	bene	_	0
1502	devi	_	0
1503	venire	_	0
1504	proprio	_	0
1505	a	_	0
1506	terra	_	0
1507	per	_	0
1508	capire	_	0
1509	come	_	0
1510	sta	_	0
1511	facendo	_	0
1512	come	_	0
1513	sta	_	0
1514	culturando	_	0
1515	le	_	0
1516	cose	_	0
1517	e	_	0
1518	poi	_	0
1519	ma	_	0
1520	se	_	0
1521	tutti	_	0
1522	ci	_	0
1523	guarda	_	0
1524	che	_	0
1525	sono	_	0
1526	pieno	_	0
1527	c'è	_	0
1528	il	_	0
1529	mio	_	0
1530	appartamento	_	0
1531	se	_	0
1532	vado	_	0
1533	a	_	0
1534	ordinare	_	0
1535	le	_	0
1536	cose	_	0
1537	che	_	0
1538	la	_	0
1539	pizza	_	0
1540	che	_	0
1541	viene	_	0
1542	a	_	0
1543	casa	_	0
1544	mia	_	0
1545	io	_	0
1546	lo	_	0
1547	mangio	_	0
1548	ma	_	0
1549	assolutamente	_	0
1550	il	_	0
1551	il	_	0
1552	pizzai	_	0
1553	lo	_	0
1554	devono	_	0
1555	fare	_	0
1556	devono	_	0
1557	avere	_	0
1558	la	_	0
1559	roba	_	0
1560	per	_	0
1561	fare	_	0
1562	la	_	0
1563	pizza	_	0
1564	sì	_	0
1565	sì	_	0
1566	sì	_	0
1567	devono	_	0
1568	riuscire	_	0
1569	a	_	0
1570	consegnare	_	0
1571	sì	_	0
1572	devono	_	0
1573	riuscire	_	0
1574	assolutamente	_	0
1575	ma	_	0
1576	in	_	0
1577	valsamo	_	0
1578	già	_	0
1579	si	_	0
1580	vive	_	0
1581	abbastanza	_	0
1582	bene	_	0
1583	a	_	0
1584	parte	_	0
1585	dico	_	0
1586	la	_	0
1587	distanza	_	0
1588	come	_	0
1589	è	_	0
1590	abbastanza	_	0
1591	tranquilla	_	0
1592	perché	_	0
1593	non	_	0
1594	è	_	0
1595	una	_	0
1596	zona	_	0
1597	che	_	0
1598	conosco	_	0
1599	no	_	0
1600	no	_	0
1601	abbastanza	_	0
1602	tranquilla	_	0
1603	non	_	0
1604	so	_	0
1605	proprio	_	0
1606	come	_	0
1607	è	_	0
1608	fatta	_	0
1609	è	_	0
1610	una	_	0
1611	zona	_	0
1612	industriale	_	0
1613	una	_	0
1614	zona	_	0
1615	no	_	0
1616	è	_	0
1617	in	_	0
1618	valsamo	_	0
1619	già	_	0
1620	guarda	_	0
1621	che	_	0
1622	è	_	0
1623	una	_	0
1624	zona	_	0
1625	e	_	0
1626	da	_	0
1627	tanto	_	0
1628	tanto	_	0
1629	che	_	0
1630	no	_	0
1631	è	_	0
1632	là	_	0
1633	è	_	0
1634	tutto	_	0
1635	tranquillo	_	0
1636	vive	_	0
1637	bene	_	0
1638	però	_	0
1639	adesso	_	0
1640	è	_	0
1641	un	_	0
1642	sacco	_	0
1643	di	_	0
1644	industrie	_	0
1645	che	_	0
1646	stanno	_	0
1647	facendo	_	0
1648	anche	_	0
1649	ducati	_	0
1650	che	_	0
1651	sta	_	0
1652	facendo	_	0
1653	c'è	_	0
1654	proprio	_	0
1655	spostando	_	0
1656	mi	_	0
1657	sembrava	_	0
1658	che	_	0
1659	là	_	0
1660	ok	_	0
1661	quindi	_	0
1662	forse	_	0
1663	si	_	0
1664	è	_	0
1665	un	_	0
1666	po'	_	0
1667	popolato	_	0
1668	anche	_	0
1669	adesso	_	0
1670	no	_	0
1671	non	_	0
1672	è	_	0
1673	che	_	0
1674	popolato	_	0
1675	sì	_	0
1676	è	_	0
1677	una	_	0
1678	anzola	_	0
1679	che	_	0
1680	è	_	0
1681	quel	_	0
1682	che	_	0
1683	hanno	_	0
1684	fatto	_	0
1685	una	_	0
1686	fabbrica	_	0
1687	di	_	0
1688	sigarette	_	0
1689	che	_	0
1690	tra	_	0
1691	parole	_	0
